Category: All categories

Month,9/11: (United States)
2004-01,11
2004-02,10
2004-03,18
2004-04,25
2004-05,30
2004-06,100
2004-07,78
2004-08,30
2004-09,51
2004-10,41
2004-11,25
2004-12,18
2005-01,13
2005-02,14
2005-03,11
2005-04,14
2005-05,13
2005-06,12
2005-07,13
2005-08,20
2005-09,28
2005-10,12
2005-11,13
2005-12,12
2006-01,11
2006-02,14
2006-03,18
2006-04,25
2006-05,25
2006-06,13
2006-07,13
2006-08,28
2006-09,91
2006-10,18
2006-11,13
2006-12,11
2007-01,10
2007-02,10
2007-03,11
2007-04,12
2007-05,13
2007-06,9
2007-07,9
2007-08,10
2007-09,41
2007-10,12
2007-11,11
2007-12,9
2008-01,9
2008-02,9
2008-03,9
2008-04,10
2008-05,10
2008-06,8
2008-07,7
2008-08,7
2008-09,34
2008-10,9
2008-11,8
2008-12,7
2009-01,6
2009-02,6
2009-03,7
2009-04,8
2009-05,7
2009-06,6
2009-07,5
2009-08,6
2009-09,30
2009-10,6
2009-11,7
2009-12,6
2010-01,6
2010-02,7
2010-03,6
2010-04,6
2010-05,6
2010-06,4
2010-07,4
2010-08,8
2010-09,27
2010-10,6
2010-11,6
2010-12,6
2011-01,6
2011-02,5
2011-03,7
2011-04,6
2011-05,13
2011-06,4
2011-07,5
2011-08,12
2011-09,92
2011-10,7
2011-11,6
2011-12,5
2012-01,6
2012-02,7
2012-03,7
2012-04,8
2012-05,9
2012-06,6
2012-07,7
2012-08,8
2012-09,61
2012-10,10
2012-11,9
2012-12,8
2013-01,7
2013-02,7
2013-03,7
2013-04,12
2013-05,9
2013-06,6
2013-07,7
2013-08,7
2013-09,61
2013-10,8
2013-11,8
2013-12,7
2014-01,7
2014-02,8
2014-03,9
2014-04,9
2014-05,14
2014-06,8
2014-07,8
2014-08,8
2014-09,63
2014-10,9
2014-11,8
2014-12,8
2015-01,8
2015-02,8
2015-03,9
2015-04,10
2015-05,11
2015-06,9
2015-07,9
2015-08,11
2015-09,76
2015-10,11
2015-11,17
2015-12,11
2016-01,8
2016-02,9
2016-03,9
2016-04,12
2016-05,13
2016-06,10
2016-07,10
2016-08,9
2016-09,83
2016-10,10
2016-11,10
2016-12,8
2017-01,9
2017-02,9
2017-03,8
2017-04,9
2017-05,10
2017-06,8
2017-07,7
2017-08,8
2017-09,43
2017-10,9
2017-11,8
2017-12,7
2018-01,7
2018-02,7
2018-03,8
2018-04,9
2018-05,10
2018-06,6
2018-07,7
2018-08,8
2018-09,56
2018-10,9
2018-11,8
2018-12,8
2019-01,7
2019-02,7
