Category: All categories

Month,Xbox: (United States)
2004-01,46
2004-02,34
2004-03,35
2004-04,33
2004-05,36
2004-06,40
2004-07,43
2004-08,39
2004-09,41
2004-10,44
2004-11,56
2004-12,61
2005-01,45
2005-02,39
2005-03,35
2005-04,37
2005-05,62
2005-06,46
2005-07,45
2005-08,42
2005-09,38
2005-10,46
2005-11,100
2005-12,82
2006-01,49
2006-02,39
2006-03,37
2006-04,36
2006-05,36
2006-06,38
2006-07,39
2006-08,37
2006-09,34
2006-10,37
2006-11,59
2006-12,63
2007-01,45
2007-02,36
2007-03,38
2007-04,40
2007-05,36
2007-06,39
2007-07,42
2007-08,40
2007-09,46
2007-10,42
2007-11,55
2007-12,65
2008-01,46
2008-02,39
2008-03,37
2008-04,33
2008-05,36
2008-06,36
2008-07,39
2008-08,38
2008-09,39
2008-10,37
2008-11,56
2008-12,63
2009-01,48
2009-02,40
2009-03,41
2009-04,35
2009-05,36
2009-06,47
2009-07,43
2009-08,46
2009-09,40
2009-10,40
2009-11,57
2009-12,61
2010-01,48
2010-02,42
2010-03,39
2010-04,36
2010-05,36
2010-06,52
2010-07,44
2010-08,40
2010-09,40
2010-10,38
2010-11,61
2010-12,65
2011-01,57
2011-02,46
2011-03,41
2011-04,43
2011-05,44
2011-06,49
2011-07,50
2011-08,46
2011-09,42
2011-10,43
2011-11,65
2011-12,72
2012-01,48
2012-02,40
2012-03,39
2012-04,38
2012-05,39
2012-06,48
2012-07,50
2012-08,46
2012-09,40
2012-10,42
2012-11,57
2012-12,64
2013-01,48
2013-02,47
2013-03,46
2013-04,43
2013-05,63
2013-06,68
2013-07,53
2013-08,51
2013-09,51
2013-10,46
2013-11,92
2013-12,87
2014-01,54
2014-02,52
2014-03,52
2014-04,43
2014-05,41
2014-06,50
2014-07,50
2014-08,48
2014-09,45
2014-10,40
2014-11,70
2014-12,86
2015-01,56
2015-02,45
2015-03,43
2015-04,41
2015-05,42
2015-06,57
2015-07,54
2015-08,52
2015-09,43
2015-10,46
2015-11,71
2015-12,82
2016-01,56
2016-02,49
2016-03,44
2016-04,42
2016-05,43
2016-06,57
2016-07,49
2016-08,46
2016-09,42
2016-10,42
2016-11,57
2016-12,72
2017-01,48
2017-02,41
2017-03,40
2017-04,38
2017-05,35
2017-06,48
2017-07,44
2017-08,41
2017-09,40
2017-10,37
2017-11,64
2017-12,69
2018-01,51
2018-02,45
2018-03,49
2018-04,43
2018-05,40
2018-06,48
2018-07,45
2018-08,44
2018-09,40
2018-10,38
2018-11,52
2018-12,58
2019-01,43
2019-02,43
